FIPS,State,Area_Name,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022
48000,TX,Texas,"29,232,474","29,558,864","30,029,572"
48001,TX,Anderson County,"57,926","58,233","58,064"
48003,TX,Andrews County,"18,617","18,411","18,334"
48005,TX,Angelina County,"86,376","86,654","87,101"
48007,TX,Aransas County,"23,932","24,519","24,944"
48009,TX,Archer County,"8,554","8,684","8,835"
48011,TX,Armstrong County,"1,849","1,838","1,850"
48013,TX,Atascosa County,"49,134","49,886","50,864"
48015,TX,Austin County,"30,131","30,421","31,097"
48017,TX,Bailey County,"6,868","6,803","6,779"
48019,TX,Bandera County,"20,992","21,551","22,115"
48021,TX,Bastrop County,"98,046","102,166","106,188"
48023,TX,Baylor County,"3,461","3,456","3,466"
48025,TX,Bee County,"31,049","30,828","30,394"
48027,TX,Bell County,"372,229","380,241","388,386"
48029,TX,Bexar County,"2,015,369","2,030,895","2,059,530"
48031,TX,Blanco County,"11,450","11,890","12,418"
48033,TX,Borden County,641,621,585
48035,TX,Bosque County,"18,245","18,495","18,697"
48037,TX,Bowie County,"92,924","92,291","92,035"
48039,TX,Brazoria County,"373,481","378,858","388,181"
48041,TX,Brazos County,"234,486","237,583","242,014"
48043,TX,Brewster County,"9,553","9,459","9,343"
48045,TX,Briscoe County,"1,419","1,400","1,431"
48047,TX,Brooks County,"7,057","6,994","6,906"
48049,TX,Brown County,"38,048","38,142","38,373"
48051,TX,Burleson County,"17,680","18,110","18,657"
48053,TX,Burnet County,"49,473","51,080","52,502"
48055,TX,Caldwell County,"45,949","46,904","47,848"
48057,TX,Calhoun County,"20,063","19,798","19,706"
48059,TX,Callahan County,"13,744","14,078","14,210"
48061,TX,Cameron County,"421,445","423,124","425,208"
48063,TX,Camp County,"12,427","12,594","12,716"
48065,TX,Carson County,"5,791","5,708","5,784"
48067,TX,Cass County,"28,436","28,557","28,539"
48069,TX,Castro County,"7,336","7,362","7,298"
48071,TX,Chambers County,"47,025","48,721","51,288"
48073,TX,Cherokee County,"50,488","51,163","51,645"
48075,TX,Childress County,"6,662","6,781","6,809"
48077,TX,Clay County,"10,250","10,315","10,486"
48079,TX,Cochran County,"2,557","2,491","2,526"
48081,TX,Coke County,"3,295","3,313","3,333"
48083,TX,Coleman County,"7,686","7,736","7,850"
48085,TX,Collin County,"1,075,654","1,114,450","1,158,696"
48087,TX,Collingsworth County,"2,638","2,603","2,568"
